piece,perf,section,AR_Pass1,AR_Pass2,AR_Dixon,best_choice,best_AR
chopin_ballade1,Zhou06M,28-166,0.0,0.0,71.73913043478261,Dixon+CQT,71.73913043478261
chopin_ballade1,Zhou06M,166-221,0.0,0.0,77.77777777777779,Dixon+CQT,77.77777777777779
chopin_ballade1,Zhou06M,221-244,0.0,0.0,100.0,Dixon+CQT,100.0
chopin_ballade1,Zhou06M,244-370,2.4390243902439024,2.4390243902439024,29.268292682926827,Dixon+CQT,29.268292682926827
chopin_ballade1,Zhou06M,370-387,16.666666666666664,0.0,16.666666666666664,Pass1,16.666666666666664
chopin_ballade1,Zhou06M,387-532,91.66666666666666,91.66666666666666,89.58333333333334,Pass1,91.66666666666666
chopin_ballade1,Zhou06M,532-691,83.01886792452831,84.90566037735849,81.13207547169812,Pass2,84.90566037735849
chopin_ballade1,Zhou06M,691-703,75.0,75.0,75.0,Pass1,75.0
chopin_ballade1,Zhou06M,703-736,63.63636363636363,54.54545454545454,54.54545454545454,Pass1,63.63636363636363
chopin_ballade1,Zhou06M,736-808,41.66666666666667,50.0,0.0,Pass2,50.0
chopin_ballade1,Zhou06M,808-1066,48.837209302325576,46.51162790697674,0.0,Pass1,48.837209302325576
chopin_ballade1,Zhou06M,1066-1072,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1072-1126,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1126-1132,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1132-1144,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1144-1225,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1225-1228,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1228-1406,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1430-1434,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,1434-1462,0.0,0.0,0.0,Pass1,0.0
